,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.52,-28.7,69.19,76,72,3.53,PT,1595203321
1,red wing,44.56,-92.53,82.4,34,1,12.75,US,1595203321
2,mar del plata,-38.0,-57.56,52.0,93,75,12.75,AR,1595203321
3,sangar,63.92,127.47,73.56,58,94,12.24,RU,1595203322
4,taywarah,33.35,64.42,51.53,45,0,6.29,AF,1595203322
5,jamestown,42.1,-79.24,73.0,100,90,13.87,US,1595203175
6,kloulklubed,7.04,134.26,84.2,79,75,4.7,PW,1595203322
7,west odessa,31.84,-102.5,93.2,28,20,6.93,US,1595203323
8,khatanga,71.97,102.5,51.78,77,98,2.68,RU,1595203069
9,rikitea,-23.12,-134.97,68.68,62,45,11.03,PF,1595203323
10,mataura,-46.19,168.86,39.0,83,92,3.0,NZ,1595203167
11,gulabpura,25.9,74.67,83.71,70,56,16.53,IN,1595203324
12,ancud,-41.87,-73.82,48.99,100,20,5.82,CL,1595203324
13,yellowknife,62.46,-114.35,75.0,49,40,8.05,CA,1595203324
14,port blair,11.67,92.75,80.71,78,99,2.59,IN,1595203293
15,boa vista,2.82,-60.67,78.8,83,40,2.24,BR,1595203243
16,bathsheba,13.22,-59.52,82.4,69,40,14.99,BB,1595203325
17,busselton,-33.65,115.33,48.0,78,36,7.72,AU,1595203229
18,nemuro,43.32,145.57,69.8,83,40,5.82,JP,1595203325
19,porto novo,6.5,2.6,77.0,94,40,8.05,BJ,1595203325
20,kapaa,22.08,-159.32,84.99,74,75,16.11,US,1595203173
21,victoria,22.29,114.16,84.0,83,100,5.01,HK,1595203029
22,thompson,55.74,-97.86,75.2,44,75,4.7,CA,1595203326
23,olafsvik,64.89,-23.71,48.2,79,31,8.05,IS,1595203081
24,karlskoga,59.33,14.52,62.6,88,68,3.36,SE,1595203326
25,punta arenas,-53.15,-70.92,35.01,69,63,5.99,CL,1595203326
26,opuwo,-18.06,13.84,52.61,43,0,9.51,NA,1595203175
27,taoudenni,22.68,-3.98,101.7,15,39,8.59,ML,1595203132
28,ushuaia,-54.8,-68.3,28.4,92,0,6.93,AR,1595203157
29,nargana,9.44,-78.59,81.75,83,96,7.72,PA,1595203327
30,chuy,-33.7,-53.46,66.38,84,96,7.34,UY,1595203091
31,kodiak,57.79,-152.41,59.0,82,90,11.41,US,1595203179
32,wajir,1.75,40.06,72.64,68,85,17.2,KE,1595203327
33,bacolod,10.67,122.95,81.79,77,72,2.68,PH,1595203328
34,srednekolymsk,67.45,153.68,75.52,37,0,12.53,RU,1595203194
35,paamiut,61.99,-49.67,47.46,79,94,2.75,GL,1595203328
